SourceIPAddress,DestinationIPAddress,SourcePort,DestinationPort,Protocol,PacketLength,PacketType,TrafficType,Alerts_Warnings,SeverityLevel,LogSource,AttackType
63.79.210.48,198.219.82.17,16811,53600,0,306,0,0,0,2,0,0
11.48.99.245,178.157.14.116,34489,20396,1,1022,1,1,0,0,0,1
208.44.127.159,121.167.40.167,56607,33023,2,282,0,0,0,2,0,0
170.211.138.30,172.97.181.148,25022,6593,2,554,0,1,0,0,0,2
107.247.253.62,45.35.146.21,10584,23178,1,649,1,0,0,0,1,1
193.109.94.146,189.14.24.22,22371,4914,1,1001,1,0,0,2,0,0
89.234.123.19,180.17.247.177,20947,24568,0,1106,0,0,0,0,0,2
123.185.30.222,22.188.5.93,15973,29809,0,190,1,1,0,0,0,0
195.177.54.54,50.191.236.203,15067,58291,2,1342,0,0,0,0,0,1
160.148.168.183,214.36.26.162,26586,17971,0,787,0,1,0,2,1,2
169.21.155.127,171.38.239.42,47513,9156,0,1455,0,2,0,0,0,0
129.189.216.143,197.202.27.160,19199,27928,1,1178,1,0,0,0,1,2
172.26.245.135,21.131.246.181,22345,60531,1,1409,1,2,0,2,1,1
62.75.113.77,216.196.28.158,42864,48696,1,765,0,1,0,2,1,1
174.146.252.123,107.24.14.107,48973,47133,2,1142,0,0,0,2,1,1
43.21.38.240,41.177.63.177,8137,20031,1,1005,0,2,0,2,0,2
144.25.158.239,109.197.80.147,41801,19629,0,512,1,0,0,2,1,1
72.133.31.200,105.23.80.132,62891,50690,2,1292,0,2,0,0,0,2
175.197.78.254,78.172.11.97,40397,45649,2,712,0,2,0,0,0,1
55.254.137.72,207.157.165.225,33051,29949,0,939,1,0,0,1,0,0
73.162.206.250,73.201.71.6,63422,60576,2,1409,1,1,0,1,0,2
124.124.105.74,47.212.142.21,13197,54254,1,609,0,2,0,1,0,0
10.90.47.5,117.97.204.110,51264,36338,1,1132,1,0,0,0,1,1
152.65.55.56,8.30.176.111,31713,13845,1,980,1,2,0,2,0,0
14.59.56.74,75.118.190.146,56288,33177,1,438,1,1,0,2,0,1
208.69.237.108,116.12.80.116,5617,22614,0,717,0,0,0,2,1,0
133.45.221.126,91.73.252.92,52233,37396,2,960,1,2,0,0,0,2
131.22.254.220,162.90.72.92,7954,19350,2,1104,1,2,0,1,0,0
107.230.81.225,40.251.72.255,47759,5860,0,1061,0,2,0,0,0,1
52.7.38.83,222.221.33.153,12441,32298,0,107,0,2,0,0,0,2
212.198.227.35,13.68.91.5,20194,30966,2,1163,1,1,0,0,0,1
169.34.162.230,26.24.253.146,60497,34238,2,452,1,2,0,2,1,0
24.41.84.96,139.198.241.166,23834,31798,2,195,1,2,0,0,1,0
47.146.63.93,108.81.174.191,54323,14787,2,782,0,0,0,2,1,0
117.134.5.208,60.136.162.151,38212,64601,1,437,0,0,0,0,0,1
164.21.30.159,202.94.236.159,17163,49109,2,98,0,1,0,0,0,0
16.179.250.143,152.147.100.97,24754,13087,2,1166,0,1,0,0,1,0
61.117.133.168,194.149.186.231,55490,38187,0,1188,0,2,0,1,1,2
143.43.16.42,10.252.212.222,56421,4827,1,1493,1,2,0,0,1,1
202.124.73.113,34.33.69.170,31452,8374,2,1428,1,0,0,2,1,1
6.20.28.177,4.182.63.32,61317,12952,1,533,1,1,0,0,1,1
93.184.20.186,25.134.146.165,27876,42176,2,1095,1,1,0,1,1,1
177.96.94.83,110.83.126.166,46984,24526,0,1388,1,0,0,2,0,1
204.124.32.92,92.201.75.101,28038,58907,1,587,0,1,0,2,0,1
74.190.186.165,123.171.174.30,43532,18608,2,395,1,0,0,2,0,0
83.197.40.242,5.89.193.16,26115,8097,0,1085,1,0,0,1,1,2
53.77.206.116,198.125.70.30,10709,34008,2,1357,0,0,0,0,1,1
181.129.77.232,157.76.49.37,20583,28109,2,268,1,1,0,1,0,0
144.34.189.244,186.194.39.144,22729,8144,2,1089,0,1,0,0,1,0
107.64.69.113,16.170.47.38,57018,29464,2,658,1,0,0,2,1,1
115.40.48.16,46.233.7.44,54740,64496,0,816,1,0,0,1,1,0
81.171.47.190,187.19.150.204,51576,18024,1,329,1,0,0,1,0,1
112.16.135.8,159.113.35.94,35630,3258,2,244,0,1,0,1,0,1
86.171.143.187,76.128.41.115,39836,49635,1,416,0,0,0,0,0,0
143.25.115.93,122.252.160.100,55091,23422,1,465,0,1,0,0,1,2
35.171.52.101,19.130.7.14,34707,29313,2,1338,0,0,0,0,0,1
44.106.198.216,172.1.53.186,15808,61925,0,313,1,1,0,0,0,1
123.116.163.42,214.173.89.130,6753,30762,2,402,1,1,0,2,1,2
45.236.125.149,62.10.252.95,19116,3303,0,759,0,0,0,1,0,2
43.105.168.19,75.50.4.232,52436,65460,1,651,0,0,0,2,1,1
4.46.179.19,126.111.201.161,30311,36138,2,752,0,0,0,2,0,2
204.198.83.15,14.97.24.86,25234,29174,0,375,1,0,0,1,1,1
59.46.211.6,35.141.83.177,40678,3237,1,498,1,1,0,1,0,0
191.128.153.169,63.158.215.221,8057,34815,1,1412,1,1,0,1,1,1
74.97.163.58,36.192.223.214,59246,24932,1,495,1,2,0,0,0,0
